Country,City,Line,Phase,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform Length (Meters),Source1,Cost,Currency,Year,PPP rate,Real cost,Cost/km (Millions),Inflation Index,Real cost (2025 dollars),Cost/km (2025 dollars),Source2,Reference,,,,
IT,Milan,Passante Railway,Tunnel Section,1984,2004,1,7.8,90.00%,7.8,0.02,5.18,10,250,Wiki,915,EUR,1996,1.3,1189.5,152.5,2.040975143,"2,427.7",311.2,Media,https://www.milanolife.it/la-quinta-linea-il-passante-ferroviario-di-milano/,,,,
VN,Hanoi,Line 3,Line 3,2010,2013,0,12.5,32.00%,4,8.5,0,12,,Media,"36,000,000",VND,2016,0.000126,4536,362.9,1.334248584,"6,052.2",484.2,Media,https://vnexpress.net/thoi-su/thanh-tra-chi-ra-nhieu-vi-pham-tai-du-an-metro-1-7-ty-usd-o-ha-noi-3777287.html,,,,
VN,Hanoi,Line 2,Line 2,2011,2020,0,11.5,74.00%,8.5,2.99,0,12,,Media,"19,555,000",VND,2015,0.000126,2463.93,214.3,1.351080302,"3,329.0",289.5,Media,http://saigondautu.com.vn/chu-diem-su-kien/5-du-an-doi-von-khung-61311.html,,,,
KR,Seoul,Sinbundang,Sinbundang Phase 1,2005,2011,0,17.3,100.00%,17.3,0,0,6,200,Wiki,"1,169,000",KRW,2002,0.0013,1519.7,87.8,1.780038911,"2,705.1",156.4,Trade,https://books.google.de/books?id=B3-SBgAAQBAJ&pg=PA44&lpg=PA44&dq=shinbundang+line+construction+cost+11690&source=bl&ots=_CTZGAt6MP&sig=ACfU3U0qGvuRqbqwA60o8fLQNSdXTt8BlQ&hl=en&sa=X&ved=2ahUKEwi847D6oPPqAhXLqqQKHf_ZB1MQ6AEwEHoECAsQAQ#v=onepage&q=shinbundang%20line%20construction%20cost%2011690&f=false,,,,
KR,Seoul,Sinbundang,Sinbundang Phase 2,2011,2018,0,12.8,100.00%,12.8,0,0,7,200,Media,"1,025,500",KRW,2006,0.0013,1333.15,104.2,1.5884375,"2,117.6",165.4,Plan,https://shinbundang.co.kr/eng/index.jsp?pageID=/eng/intro/intro2_6.jsp&open_main=4&open_sub1=1&open_sub2=6,,,,
MX,Guadalajara,Line 3,Line 3,2014,2020,0,21.5,25.00%,5.4,14.595,1.53,18,,Trade,"31,500",MXN,2017,0.106,3339,155.3,1.306417265,"4,362.1",202.9,Media,https://www.eleconomista.com.mx/estados/Linea-3-arriba-78-de-su-costo-20200121-0023.html,,,,
DE,Leipzig,City Tunnel,City Tunnel,2003,2013,1,3.6,100.00%,3.6,0,0,4,,Wiki,960,EUR,2008,1.3,1248,346.7,1.487341096,"1,856.2",515.6,Plan,http://dip21.bundestag.de/dip21/btd/17/029/1702939.pdf,,,,
IT,Rome,Line B1,Line B1 extension,2005,2015,0,4.7,100.00%,4.7,0,0,3,150,agency,761,EUR,2012,1.3,989.3,210.5,1.394762058,"1,379.8",293.6,Plan,https://www.comune.roma.it/PCR/resources/cms/documents/B1schedaillustrativaintervento.pdf,,,,
IT,Rome,Line C,Line C - section T6a,2007,2013,0,2.8,100.00%,2.8,0,0,4,,Plan,399,EUR,2010,1.3,518.7,185.3,1.468563121,761.7,272.1,Plan,https://metrocspa.it/cms/wp-content/uploads/2016/12/2-Q.E.G.-12-set-2013.pdf,,,,
IT,Rome,Line C,Line C - section T4-5,2007,2013,0,7.6,100.00%,7.6,0,0,9,110,agency,"1,206",EUR,2010,1.3,1567.8,206.3,1.468563121,"2,302.4",302.9,Plan,https://metrocspa.it/cms/wp-content/uploads/2016/12/2-Q.E.G.-12-set-2013.pdf,,,,
